Caso,Escenario,MTOW (kg),b_ref (m),S_ref (m2),AR_ref (-),c_bar_ref (m),Lf_por_0p35b (m),Lf_por_3cbar (m),Lf_fuselaje_total (m),lH_brazo_cola_H (m),lV_brazo_cola_V (m),VH_usado (-),S_H_cola_horizontal (m2),AR_H_usado (-),b_H_cola_horizontal (m),c_H_media (m),CVT_usado (-),S_V_cola_vertical (m2),AR_V_usado (-),h_V_deriva (m),c_V_media (m),V_componentes_sin_margen (L),V_util_interno_con_margen (L),V_ext_capsula (L),V_geom_capsula_bruto (L),D_eq_capsula (m),L_capsula (m),W_capsula_max (m),H_capsula_max (m),A_frontal_capsula (m2),D_boom_equiv (m),L_boom_aprox (m),x_tail_AC_desde_nariz (m),x_ala_AC_desde_nariz (m),x_ala_LE_desde_nariz (m),x_ala_TE_aprox_desde_nariz (m),L_tramo_capsula_a_LE (m),L_tramo_bajo_ala (m),L_boom_detras_ala (m),L_TE_ala_a_tail_AC (m),x_CG_obj_min_desde_nariz (m),x_CG_obj_max_desde_nariz (m)
Caso_1.1_24m_equinoccio,Constante_20km,85.0,24.0,36.078953556263656,15.964986320951672,1.5032897315109857,8.399999999999999,4.509869194532957,8.399999999999999,5.459999999999999,5.039999999999999,0.4275,4.246587724001643,4.5,4.371457967086884,0.9714351037970855,0.013699957797057545,2.353714957537197,1.5,1.878981755181725,1.2526545034544834,31.280000000000005,40.66400000000001,62.56,62.56,0.300857144649467,1.3538571509226016,0.3263253906341127,0.2773765820389958,0.07109033163548001,0.10530000062731344,7.0461428490773965,7.811999999999999,2.3520000000000003,1.976177567122254,3.4794672986332396,0.6223204161996523,1.5032897315109857,4.920532701366759,4.33253270136676,2.3520000000000003,2.5023289731510987
Caso_1.1_24m_equinoccio,DescensoNocturno_20a15km,85.0,24.0,36.078953556263656,15.964986320951672,1.5032897315109857,8.399999999999999,4.509869194532957,8.399999999999999,5.459999999999999,5.039999999999999,0.4275,4.246587724001643,4.5,4.371457967086884,0.9714351037970855,0.013699957797057545,2.353714957537197,1.5,1.878981755181725,1.2526545034544834,31.280000000000005,40.66400000000001,62.56,62.56,0.300857144649467,1.3538571509226016,0.3263253906341127,0.2773765820389958,0.07109033163548001,0.10530000062731344,7.0461428490773965,7.811999999999999,2.3520000000000003,1.976177567122254,3.4794672986332396,0.6223204161996523,1.5032897315109857,4.920532701366759,4.33253270136676,2.3520000000000003,2.5023289731510987
Caso_1.2_24m_invierno,Constante_20km,85.0,24.0,36.078953556263656,15.964986320951672,1.5032897315109857,8.399999999999999,4.509869194532957,8.399999999999999,5.459999999999999,5.039999999999999,0.4275,4.246587724001643,4.5,4.371457967086884,0.9714351037970855,0.013699957797057545,2.353714957537197,1.5,1.878981755181725,1.2526545034544834,31.280000000000005,40.66400000000001,62.56,62.56,0.300857144649467,1.3538571509226016,0.3263253906341127,0.2773765820389958,0.07109033163548001,0.10530000062731344,7.0461428490773965,7.811999999999999,2.3520000000000003,1.976177567122254,3.4794672986332396,0.6223204161996523,1.5032897315109857,4.920532701366759,4.33253270136676,2.3520000000000003,2.5023289731510987
Caso_1.2_24m_invierno,DescensoNocturno_20a15km,85.0,24.0,36.078953556263656,15.964986320951672,1.5032897315109857,8.399999999999999,4.509869194532957,8.399999999999999,5.459999999999999,5.039999999999999,0.4275,4.246587724001643,4.5,4.371457967086884,0.9714351037970855,0.013699957797057545,2.353714957537197,1.5,1.878981755181725,1.2526545034544834,31.280000000000005,40.66400000000001,62.56,62.56,0.300857144649467,1.3538571509226016,0.3263253906341127,0.2773765820389958,0.07109033163548001,0.10530000062731344,7.0461428490773965,7.811999999999999,2.3520000000000003,1.976177567122254,3.4794672986332396,0.6223204161996523,1.5032897315109857,4.920532701366759,4.33253270136676,2.3520000000000003,2.5023289731510987
Caso_2.1_32m_equinoccio,Constante_20km,150.0,32.0,63.20058905833384,16.202380630580087,1.9750184080729325,11.2,5.925055224218798,11.2,7.279999999999999,6.72,0.4275,7.329882514184691,4.5,5.743210888852255,1.2762690864116122,0.01356464304056935,4.082349669190531,1.5,2.4745756209471144,1.6497170806314096,31.280000000000005,40.66400000000001,62.56,62.56,0.300857144649467,1.3538571509226016,0.3263253906341127,0.2773765820389958,0.07109033163548001,0.10530000062731344,9.846142849077397,10.416,3.136000000000001,2.642245397981768,4.617263806054701,1.2883882470591663,1.9750184080729327,6.582736193945299,5.7987361939453,3.136000000000001,3.333501840807294
Caso_2.1_32m_equinoccio,DescensoNocturno_20a15km,150.0,32.0,63.20058905833384,16.202380630580087,1.9750184080729325,11.2,5.925055224218798,11.2,7.279999999999999,6.72,0.4275,7.329882514184691,4.5,5.743210888852255,1.2762690864116122,0.01356464304056935,4.082349669190531,1.5,2.4745756209471144,1.6497170806314096,31.280000000000005,40.66400000000001,62.56,62.56,0.300857144649467,1.3538571509226016,0.3263253906341127,0.2773765820389958,0.07109033163548001,0.10530000062731344,9.846142849077397,10.416,3.136000000000001,2.642245397981768,4.617263806054701,1.2883882470591663,1.9750184080729327,6.582736193945299,5.7987361939453,3.136000000000001,3.333501840807294
Caso_2.2_32m_invierno,Constante_20km,150.0,32.0,63.20058905833384,16.202380630580087,1.9750184080729325,11.2,5.925055224218798,11.2,7.279999999999999,6.72,0.4275,7.329882514184691,4.5,5.743210888852255,1.2762690864116122,0.01356464304056935,4.082349669190531,1.5,2.4745756209471144,1.6497170806314096,31.280000000000005,40.66400000000001,62.56,62.56,0.300857144649467,1.3538571509226016,0.3263253906341127,0.2773765820389958,0.07109033163548001,0.10530000062731344,9.846142849077397,10.416,3.136000000000001,2.642245397981768,4.617263806054701,1.2883882470591663,1.9750184080729327,6.582736193945299,5.7987361939453,3.136000000000001,3.333501840807294
Caso_2.2_32m_invierno,DescensoNocturno_20a15km,150.0,32.0,63.20058905833384,16.202380630580087,1.9750184080729325,11.2,5.925055224218798,11.2,7.279999999999999,6.72,0.4275,7.329882514184691,4.5,5.743210888852255,1.2762690864116122,0.01356464304056935,4.082349669190531,1.5,2.4745756209471144,1.6497170806314096,31.280000000000005,40.66400000000001,62.56,62.56,0.300857144649467,1.3538571509226016,0.3263253906341127,0.2773765820389958,0.07109033163548001,0.10530000062731344,9.846142849077397,10.416,3.136000000000001,2.642245397981768,4.617263806054701,1.2883882470591663,1.9750184080729327,6.582736193945299,5.7987361939453,3.136000000000001,3.333501840807294
